Genus,Status,Abundance.average,overall.max
Acinetobacter,BRD,0.027198158,0.027198158
Chryseobacterium,BRD,0.033828315,0.033828315
Corynebacterium,BRD,0.035725852,0.035725852
Flavobacterium,BRD,0.01223597,0.01223597
Mannheimia,BRD,0.100566891,0.100566891
Moraxella,BRD,0.141311065,0.141311065
Moraxellaceae,BRD,0.026674516,0.026674516
Mycoplasma,BRD,0.04010526,0.04010526
Pasteurella,BRD,0.02407814,0.02407814
Planococcaceae,BRD,0.027887389,0.027887389
Psychrobacter,BRD,0.152615566,0.152615566
Streptococcus,BRD,0.046245224,0.046245224
Acinetobacter,Healthy,0.033315886,0.033315886
Chryseobacterium,Healthy,0.023023249,0.023023249
Corynebacterium,Healthy,0.051174889,0.051174889
Flavobacterium,Healthy,0.020575178,0.020575178
Mannheimia,Healthy,0.06964649,0.06964649
Moraxella,Healthy,0.095266543,0.095266543
Moraxellaceae,Healthy,0.02104884,0.02104884
Mycoplasma,Healthy,0.023954169,0.023954169
Pasteurella,Healthy,0.030354921,0.030354921
Planococcaceae,Healthy,0.04094287,0.04094287
Psychrobacter,Healthy,0.157603477,0.157603477
Streptococcus,Healthy,0.036946901,0.036946901