Sample,State,Farm,Plate,Date of colleciton,ID #,Name,Name,BRD,Cow
Dairy,IN,Warren,BRD-Dairy Plate 1,2/20/21,33345,Dairy 11,Dairy 11,BRD,Yes
Dairy,IN,Warren,BRD-Dairy Plate 1,2/20/21,40683,Dairy 13,Dairy 13,Healthy,Yes
Dairy,IN,Warren,BRD-Dairy Plate 1,2/20/21,45181_A,Dairy 14_A,Dairy 14,BRD,Yes
Dairy,IN,Warren,BRD-Dairy Plate 2,2/20/21,18128_A,Dairy 2_A,Dairy 2,Healthy,Yes
Dairy,IN,Warren,BRD-Dairy Plate 1,2/20/21,18557_A,Dairy 3_A,Dairy 3,BRD,Yes
Dairy,IN,Warren,BRD-Dairy Plate 1,2/20/21,19644,Dairy 5,Dairy 5,Healthy,Yes
Dairy,IN,Warren,BRD-Dairy Plate 2,2/20/21,23157,Dairy 6,Dairy 6,BRD,Yes
Dairy,NY,Southview,BRD-Dairy Plate 2,5/20/21,25258,Dairy 171_A,Dairy 171,Healthy,Yes
Dairy,NY,Southview,BRD-Dairy Plate 2,5/20/21,19223,Dairy 174_A,Dairy 174,Healthy,Yes
Dairy,NY,Southview,BRD-Dairy Plate 3,5/20/21,26521,Dairy 177_A,Dairy 177,Healthy,Yes
Dairy,NY,Southview,BRD-Dairy Plate 3,5/20/21,20889,Dairy 178_A,Dairy 178,Healthy,Yes
Dairy,NY,Southview,BRD-Dairy Plate 3,5/20/21,25911,Dairy 179_A,Dairy 179,Healthy,Yes
Dairy,NY,Southview,BRD-Dairy Plate 3,5/20/21,26528,Dairy 180_A,Dairy 180,Healthy,Yes
Dairy,NY,Southview,BRD-Dairy Plate 3,5/20/21,18180,Dairy 181_A,Dairy 181,Healthy,Yes
Dairy,NY,Southview,BRD-Dairy Plate 3,5/20/21,25029,Dairy 182_A,Dairy 182,Healthy,Yes
Dairy,NY,Southview,BRD-Dairy Plate 3,5/20/21,18184,Dairy 183_A,Dairy 183,Healthy,Yes
Dairy,NY,Southview,BRD-Dairy Plate 3,5/20/21,8377,Dairy 184_A,Dairy 184,Healthy,Yes
Dairy,NY,Southview,BRD-Dairy Plate 3,5/20/21,26362,Dairy 186_A,Dairy 186,Healthy,Yes
Dairy,NY,Southview,BRD-Dairy Plate 3,5/20/21,25100,Dairy 189_A,Dairy 189,BRD,Yes
Dairy,NY,Southview,BRD-Dairy Plate 3,5/20/21,18241,Dairy 190_A,Dairy 190,BRD,Yes
Dairy,NY,Southview,BRD-Dairy Plate 3,5/20/21,20813,Dairy 191_A,Dairy 191,BRD,Yes
Dairy,NY,Southview,BRD-Dairy Plate 3,5/20/21,9123,Dairy 192_A,Dairy 192,BRD,Yes
Dairy,NY,Southview,BRD-Dairy Plate 3,5/20/21,19169,Dairy 193_A,Dairy 193,BRD,Yes
Dairy,NY,Southview,BRD-Dairy Plate 3,5/20/21,25562,Dairy 194_A,Dairy 194,BRD,Yes
Dairy,NY,Southview,BRD-Dairy Plate 3,5/20/21,26100,Dairy 195_A,Dairy 195,BRD,Yes
Dairy,NY,Southview,BRD-Dairy Plate 3,5/20/21,26145,Dairy 196_A,Dairy 196,BRD,Yes
Dairy,NY,Southview,BRD-Dairy Plate 3,5/20/21,25997,Dairy 200_A,Dairy 200,BRD,Yes